Round,LastCommandType,LastCommand,ActiveWorm,Score,Health,Worm1 Health,Worm1 x,Worm1 y,Worm2 Health,Worm2 x,Worm2 y,Worm3 Health,Worm3 x,Worm3 y
1,null,"null",1,116,350,150,24,4,100,24,28,100,1,16
2,move,"move 25 5",1,121,350,150,25,5,100,24,28,100,1,16
3,move,"move 25 29",2,126,350,150,25,5,100,25,29,100,1,16
4,move,"move 0 17",3,131,350,150,25,5,100,25,29,100,0,17
5,dig,"dig 24 6",1,138,350,150,25,5,100,25,29,100,0,17
6,move,"move 24 28",2,143,350,150,25,5,100,24,28,100,0,17
7,move,"move 1 16",3,148,350,150,25,5,100,24,28,100,1,16
8,move,"move 24 6",1,153,350,150,24,6,100,24,28,100,1,16
9,move,"move 23 29",2,158,350,150,24,6,100,23,29,100,1,16
10,move,"move 0 17",3,163,350,150,24,6,100,23,29,100,0,17
11,move,"move 23 7",1,168,350,150,23,7,100,23,29,100,0,17
12,move,"move 24 28",2,173,350,150,23,7,100,24,28,100,0,17
13,move,"move 1 16",3,178,350,150,23,7,100,24,28,100,1,16
14,move,"move 22 8",1,183,350,150,22,8,100,24,28,100,1,16
15,move,"move 23 27",2,188,350,150,22,8,100,23,27,100,1,16
16,move,"move 2 17",3,193,350,150,22,8,100,23,27,100,2,17
17,dig,"dig 21 9",1,200,350,150,22,8,100,23,27,100,2,17
18,dig,"dig 24 26",2,207,350,150,22,8,100,23,27,100,2,17
19,dig,"dig 3 18",3,214,350,150,22,8,100,23,27,100,2,17
20,dig,"dig 21 7",1,221,350,150,22,8,100,23,27,100,2,17
21,move,"move 24 26",2,226,350,150,22,8,100,24,26,100,2,17
22,move,"move 1 16",3,231,350,150,22,8,100,24,26,100,1,16
23,move,"move 21 9",1,236,350,150,21,9,100,24,26,100,1,16
24,move,"move 25 25",2,241,350,150,21,9,100,25,25,100,1,16
25,move,"move 2 17",3,246,350,150,21,9,100,25,25,100,2,17
26,dig,"dig 22 10",1,253,350,150,21,9,100,25,25,100,2,17
27,move,"move 26 24",2,258,350,150,21,9,100,26,24,100,2,17
28,dig,"dig 3 16",3,265,350,150,21,9,100,26,24,100,2,17
29,dig,"dig 20 8",1,272,350,150,21,9,100,26,24,100,2,17
30,move,"move 25 25",2,277,350,150,21,9,100,25,25,100,2,17
31,move,"move 3 18",3,282,350,150,21,9,100,25,25,100,3,18
32,dig,"dig 20 10",1,289,350,150,21,9,100,25,25,100,3,18
33,move,"move 24 26",2,294,350,150,21,9,100,24,26,100,3,18
34,move,"move 4 17",3,299,350,150,21,9,100,24,26,100,4,17
35,move,"move 20 8",1,304,350,150,20,8,100,24,26,100,4,17
36,dig,"dig 23 25",2,311,350,150,20,8,100,24,26,100,4,17
37,move,"move 3 16",3,316,350,150,20,8,100,24,26,100,3,16
38,move,"move 19 9",1,321,350,150,19,9,100,24,26,100,3,16
39,move,"move 23 25",2,326,350,150,19,9,100,23,25,100,3,16
40,move,"move 4 17",3,331,350,150,19,9,100,23,25,100,4,17
41,move,"move 18 10",1,336,350,150,18,10,100,23,25,100,4,17
42,move,"move 24 26",2,341,350,150,18,10,100,24,26,100,4,17
43,move,"move 5 18",3,346,350,150,18,10,100,24,26,100,5,18
44,move,"move 17 9",1,351,350,150,17,9,100,24,26,100,5,18
45,move,"move 25 27",2,356,350,150,17,9,100,25,27,100,5,18
46,move,"move 6 17",3,361,350,150,17,9,100,25,27,100,6,17
47,dig,"dig 16 10",1,368,350,150,17,9,100,25,27,100,6,17
48,move,"move 24 26",2,373,350,150,17,9,100,24,26,100,6,17
49,move,"move 7 16",3,378,350,150,17,9,100,24,26,100,7,16
50,move,"move 16 10",1,383,350,150,16,10,100,24,26,100,7,16
51,move,"move 25 27",2,382,330,130,16,10,100,25,27,100,7,16
52,move,"move 6 17",3,387,330,130,16,10,100,25,27,100,6,17
53,move,"move 15 9",1,392,330,130,15,9,100,25,27,100,6,17
54,dig,"dig 26 26",2,399,330,130,15,9,100,25,27,100,6,17
55,move,"move 5 16",3,401,322,122,15,9,100,25,27,100,5,16
56,shoot,"shoot S",1,414,314,114,15,9,100,25,27,100,5,16
57,move,"move 26 26",2,417,306,106,15,9,100,26,26,100,5,16
58,move,"move 6 17",3,419,298,98,15,9,100,26,26,100,6,17
59,shoot,"shoot S",1,432,290,90,15,9,100,26,26,100,6,17
60,move,"move 25 27",2,437,290,90,15,9,100,25,27,100,6,17
61,move,"move 5 16",3,442,290,90,15,9,100,25,27,100,5,16
62,shoot,"shoot S",1,452,270,70,15,9,100,25,27,100,5,16
63,dig,"dig 26 28",2,459,270,70,15,9,100,25,27,100,5,16
64,move,"move 4 17",3,464,270,70,15,9,100,25,27,100,4,17
65,shoot,"shoot S",1,473,250,50,15,9,100,25,27,100,4,17
66,move,"move 26 28",2,478,250,50,15,9,100,26,28,100,4,17
67,move,"move 5 16",3,483,250,50,15,9,100,26,28,100,5,16
68,shoot,"shoot S",1,496,242,42,15,9,100,26,28,100,5,16
69,nothing,"nothing "Player chose to do nothing"",2,496,242,42,15,9,100,26,28,100,5,16
70,move,"move 4 17",3,501,242,42,15,9,100,26,28,100,4,17
71,shoot,"shoot S",1,515,234,34,15,9,100,26,28,100,4,17
72,move,"move 25 29",2,520,234,34,15,9,100,25,29,100,4,17
73,move,"move 3 18",3,525,234,34,15,9,100,25,29,100,3,18
74,shoot,"shoot S",1,522,226,26,15,9,100,25,29,100,3,18
75,dig,"dig 24 30",2,529,226,26,15,9,100,25,29,100,3,18
76,move,"move 2 19",3,534,226,26,15,9,100,25,29,100,2,19
77,shoot,"shoot S",1,550,226,26,15,9,100,25,29,100,2,19
78,move,"move 24 30",2,555,226,26,15,9,100,24,30,100,2,19
79,move,"move 3 18",3,560,226,26,15,9,100,24,30,100,3,18
80,shoot,"shoot S",1,560,226,26,15,9,100,24,30,100,3,18
81,move,"move 23 31",2,562,218,18,15,9,100,23,31,100,3,18
82,dig,"dig 4 19",3,569,218,18,15,9,100,23,31,100,3,18
83,shoot,"shoot S",1,585,218,18,15,9,100,23,31,100,3,18
84,move,"move 24 30",2,590,218,18,15,9,100,24,30,100,3,18
