Round,LastCommandType,LastCommand,ActiveWorm,Score,Health,Worm1 Health,Worm1 x,Worm1 y,Worm2 Health,Worm2 x,Worm2 y,Worm3 Health,Worm3 x,Worm3 y
1,null,"null",1,116,350,150,8,28,100,8,4,100,31,16
2,move,"move 9 27",1,121,350,150,9,27,100,8,4,100,31,16
3,move,"move 9 5",2,126,350,150,9,27,100,9,5,100,31,16
4,move,"move 30 16",3,131,350,150,9,27,100,9,5,100,30,16
5,dig,"dig 10 26",1,138,350,150,9,27,100,9,5,100,30,16
6,dig,"dig 10 6",2,145,350,150,9,27,100,9,5,100,30,16
7,dig,"dig 29 16",3,152,350,150,9,27,100,9,5,100,30,16
8,move,"move 10 26",1,157,350,150,10,26,100,9,5,100,30,16
9,move,"move 10 6",2,162,350,150,10,26,100,10,6,100,30,16
10,move,"move 29 16",3,167,350,150,10,26,100,10,6,100,29,16
11,move,"move 11 25",1,172,350,150,11,25,100,10,6,100,29,16
12,dig,"dig 11 7",2,179,350,150,11,25,100,10,6,100,29,16
13,dig,"dig 28 16",3,186,350,150,11,25,100,10,6,100,29,16
14,move,"move 12 24",1,191,350,150,12,24,100,10,6,100,29,16
15,move,"move 11 7",2,196,350,150,12,24,100,11,7,100,29,16
16,move,"move 28 16",3,201,350,150,12,24,100,11,7,100,28,16
17,move,"move 13 23",1,206,350,150,13,23,100,11,7,100,28,16
18,dig,"dig 12 8",2,213,350,150,13,23,100,11,7,100,28,16
19,move,"move 27 16",3,218,350,150,13,23,100,11,7,100,27,16
20,move,"move 13 22",1,223,350,150,13,22,100,11,7,100,27,16
21,move,"move 12 8",2,228,350,150,13,22,100,12,8,100,27,16
22,move,"move 26 16",3,233,350,150,13,22,100,12,8,100,26,16
23,dig,"dig 13 21",1,240,350,150,13,22,100,12,8,100,26,16
24,move,"move 13 9",2,245,350,150,13,22,100,13,9,100,26,16
25,move,"move 25 16",3,250,350,150,13,22,100,13,9,100,25,16
26,move,"move 13 21",1,255,350,150,13,21,100,13,9,100,25,16
27,dig,"dig 13 10",2,262,350,150,13,21,100,13,9,100,25,16
28,move,"move 24 16",3,267,350,150,13,21,100,13,9,100,24,16
29,dig,"dig 13 20",1,274,350,150,13,21,100,13,9,100,24,16
30,move,"move 13 10",2,279,350,150,13,21,100,13,10,100,24,16
31,dig,"dig 23 16",3,286,350,150,13,21,100,13,10,100,24,16
32,move,"move 13 20",1,291,350,150,13,20,100,13,10,100,24,16
33,dig,"dig 13 11",2,298,350,150,13,20,100,13,10,100,24,16
34,move,"move 23 16",3,303,350,150,13,20,100,13,10,100,23,16
35,move,"move 13 19",1,308,350,150,13,19,100,13,10,100,23,16
36,move,"move 13 11",2,313,350,150,13,19,100,13,11,100,23,16
37,dig,"dig 22 16",3,320,350,150,13,19,100,13,11,100,23,16
38,move,"move 13 18",1,325,350,150,13,18,100,13,11,100,23,16
39,move,"move 13 12",2,330,350,150,13,18,100,13,12,100,23,16
40,move,"move 22 16",3,335,350,150,13,18,100,13,12,100,22,16
41,dig,"dig 13 17",1,342,350,150,13,18,100,13,12,100,22,16
42,move,"move 13 13",2,347,350,150,13,18,100,13,13,100,22,16
43,move,"move 21 16",3,352,350,150,13,18,100,13,13,100,21,16
44,move,"move 13 17",1,357,350,150,13,17,100,13,13,100,21,16
45,dig,"dig 13 14",2,364,350,150,13,17,100,13,13,100,21,16
46,dig,"dig 20 16",3,371,350,150,13,17,100,13,13,100,21,16
47,move,"move 13 16",1,380,360,160,13,16,100,13,13,100,21,16
48,move,"move 14 14",2,385,360,160,13,16,100,14,14,100,21,16
49,move,"move 20 16",3,390,360,160,13,16,100,14,14,100,20,16
50,move,"move 14 16",1,395,360,160,14,16,100,14,14,100,20,16
51,banana,"banana 16 10",2,484,360,160,14,16,100,14,14,100,20,16
52,move,"move 19 16",3,492,370,160,14,16,100,14,14,110,19,16
53,move,"move 15 15",1,497,370,160,15,15,100,14,14,110,19,16
54,move,"move 15 13",2,502,370,160,15,15,100,15,13,110,19,16
